,Id_Animal,Hora_x,Producao,Data_x,Sessao,Timestamp,Fase,Data_y,Dia_Experimento,Dieta,Trat,Periodo,Hora_y,Temp_Vaginal
0,3652.0,2017-09-22 08:00:00,14.43,22/09/2017,S1,2017-09-22 08:00:00,2,2017-09-22 00:00:00,21,1,3,1,08:00:00,38.625
1,653.0,2017-09-22 08:00:00,14.04,22/09/2017,S1,2017-09-22 08:00:00,2,2017-09-22 00:00:00,21,1,1,1,08:00:00,38.5
2,2623.0,2017-09-22 08:00:00,14.88,22/09/2017,S1,2017-09-22 08:00:00,2,2017-09-22 00:00:00,21,2,2,1,08:00:00,38.75
3,2624.0,2017-09-22 08:30:00,13.19,22/09/2017,S1,2017-09-22 08:30:00,2,2017-09-22 00:00:00,21,2,3,1,08:30:00,37.625
4,2662.0,2017-09-22 08:00:00,7.87,22/09/2017,S1,2017-09-22 08:00:00,2,2017-09-22 00:00:00,21,2,1,1,08:00:00,38.625
5,4498.0,2017-09-22 08:00:00,13.02,22/09/2017,S1,2017-09-22 08:00:00,2,2017-09-22 00:00:00,21,1,1,1,08:00:00,38.75
6,4448.0,2017-09-22 08:00:00,13.81,22/09/2017,S1,2017-09-22 08:00:00,2,2017-09-22 00:00:00,21,1,3,1,08:00:00,38.625
7,4412.0,2017-09-22 08:00:00,9.75,22/09/2017,S1,2017-09-22 08:00:00,2,2017-09-22 00:00:00,21,1,2,1,08:00:00,37.75
8,4421.0,2017-09-22 08:30:00,7.92,22/09/2017,S1,2017-09-22 08:30:00,2,2017-09-22 00:00:00,21,2,3,1,08:30:00,38.875
9,4021.0,2017-09-22 08:30:00,13.95,22/09/2017,S1,2017-09-22 08:30:00,2,2017-09-22 00:00:00,21,2,1,1,08:30:00,25.0
10,3579.0,2017-09-22 08:00:00,13.91,22/09/2017,S1,2017-09-22 08:00:00,2,2017-09-22 00:00:00,21,1,2,1,08:00:00,39.25
11,3500.0,2017-09-22 08:00:00,14.31,22/09/2017,S1,2017-09-22 08:00:00,2,2017-09-22 00:00:00,21,2,3,1,08:00:00,38.625
12,3475.0,2017-09-22 08:00:00,14.27,22/09/2017,S1,2017-09-22 08:00:00,2,2017-09-22 00:00:00,21,1,2,1,08:00:00,38.875
13,3424.0,2017-09-22 08:30:00,9.01,22/09/2017,S1,2017-09-22 08:30:00,2,2017-09-22 00:00:00,21,2,1,1,08:30:00,38.25
14,2581.0,2017-09-22 08:00:00,17.76,22/09/2017,S1,2017-09-22 08:00:00,2,2017-09-22 00:00:00,21,1,3,1,08:00:00,38.75
15,2567.0,2017-09-22 08:00:00,13.87,22/09/2017,S1,2017-09-22 08:00:00,2,2017-09-22 00:00:00,21,1,1,1,08:00:00,
16,2468.0,2017-09-22 08:30:00,13.9,22/09/2017,S1,2017-09-22 08:30:00,2,2017-09-22 00:00:00,21,2,2,1,08:30:00,38.75
17,2406.0,2017-09-22 08:30:00,11.16,22/09/2017,S1,2017-09-22 08:30:00,2,2017-09-22 00:00:00,21,2,2,1,08:30:00,38.875
18,3652.0,2017-09-16 08:00:00,14.34,16/09/2017,S1,2017-09-16 08:00:00,2,2017-09-16 00:00:00,15,1,3,1,08:00:00,38.125
19,653.0,2017-09-16 08:00:00,14.34,16/09/2017,S1,2017-09-16 08:00:00,2,2017-09-16 00:00:00,15,1,1,1,08:00:00,38.375
20,2623.0,2017-09-16 08:00:00,13.9,16/09/2017,S1,2017-09-16 08:00:00,2,2017-09-16 00:00:00,15,2,2,1,08:00:00,38.625
21,2624.0,2017-09-16 08:00:00,14.94,16/09/2017,S1,2017-09-16 08:00:00,2,2017-09-16 00:00:00,15,2,3,1,08:00:00,36.75
22,2662.0,2017-09-16 08:00:00,1.46,16/09/2017,S1,2017-09-16 08:00:00,2,2017-09-16 00:00:00,15,2,1,1,08:00:00,39.75
23,4498.0,2017-09-16 08:00:00,11.16,16/09/2017,S1,2017-09-16 08:00:00,2,2017-09-16 00:00:00,15,1,1,1,08:00:00,39.0
24,4448.0,2017-09-16 08:00:00,14.41,16/09/2017,S1,2017-09-16 08:00:00,2,2017-09-16 00:00:00,15,1,3,1,08:00:00,38.875
25,4412.0,2017-09-16 08:00:00,9.59,16/09/2017,S1,2017-09-16 08:00:00,2,2017-09-16 00:00:00,15,1,2,1,08:00:00,38.75
26,4421.0,2017-09-16 08:30:00,6.69,16/09/2017,S1,2017-09-16 08:30:00,2,2017-09-16 00:00:00,15,2,3,1,08:30:00,39.0
27,4021.0,2017-09-16 08:00:00,14.8,16/09/2017,S1,2017-09-16 08:00:00,2,2017-09-16 00:00:00,15,2,1,1,08:00:00,
28,3579.0,2017-09-16 08:00:00,12.66,16/09/2017,S1,2017-09-16 08:00:00,2,2017-09-16 00:00:00,15,1,2,1,08:00:00,39.25
29,3500.0,2017-09-16 08:00:00,14.24,16/09/2017,S1,2017-09-16 08:00:00,2,2017-09-16 00:00:00,15,2,3,1,08:00:00,38.5
30,3475.0,2017-09-16 08:00:00,15.03,16/09/2017,S1,2017-09-16 08:00:00,2,2017-09-16 00:00:00,15,1,2,1,08:00:00,
31,3424.0,2017-09-16 08:00:00,9.01,16/09/2017,S1,2017-09-16 08:00:00,2,2017-09-16 00:00:00,15,2,1,1,08:00:00,38.5
32,2581.0,2017-09-16 08:00:00,17.65,16/09/2017,S1,2017-09-16 08:00:00,2,2017-09-16 00:00:00,15,1,3,1,08:00:00,38.75
33,2567.0,2017-09-16 08:00:00,15.63,16/09/2017,S1,2017-09-16 08:00:00,2,2017-09-16 00:00:00,15,1,1,1,08:00:00,38.875
34,2468.0,2017-09-16 08:00:00,14.11,16/09/2017,S1,2017-09-16 08:00:00,2,2017-09-16 00:00:00,15,2,2,1,08:00:00,38.75
35,2406.0,2017-09-16 08:30:00,10.83,16/09/2017,S1,2017-09-16 08:30:00,2,2017-09-16 00:00:00,15,2,2,1,08:30:00,38.75
36,3652.0,2017-09-15 08:00:00,12.95,15/09/2017,S1,2017-09-15 08:00:00,2,2017-09-15 00:00:00,14,1,3,1,08:00:00,38.375
37,653.0,2017-09-15 08:00:00,15.15,15/09/2017,S1,2017-09-15 08:00:00,2,2017-09-15 00:00:00,14,1,1,1,08:00:00,
38,2623.0,2017-09-15 08:30:00,14.65,15/09/2017,S1,2017-09-15 08:30:00,2,2017-09-15 00:00:00,14,2,2,1,08:30:00,38.75
39,2624.0,2017-09-15 08:00:00,11.94,15/09/2017,S1,2017-09-15 08:00:00,2,2017-09-15 00:00:00,14,2,3,1,08:00:00,38.75
40,2662.0,2017-09-15 08:00:00,14.45,15/09/2017,S1,2017-09-15 08:00:00,2,2017-09-15 00:00:00,14,2,1,1,08:00:00,38.5
41,4498.0,2017-09-15 08:00:00,10.5,15/09/2017,S1,2017-09-15 08:00:00,2,2017-09-15 00:00:00,14,1,1,1,08:00:00,38.625
42,4448.0,2017-09-15 08:00:00,14.16,15/09/2017,S1,2017-09-15 08:00:00,2,2017-09-15 00:00:00,14,1,3,1,08:00:00,38.75
43,4412.0,2017-09-15 08:00:00,11.17,15/09/2017,S1,2017-09-15 08:00:00,2,2017-09-15 00:00:00,14,1,2,1,08:00:00,38.5
44,4421.0,2017-09-15 10:00:00,6.86,15/09/2017,S1,2017-09-15 10:00:00,2,2017-09-15 00:00:00,14,2,3,1,10:00:00,39.0
45,4021.0,2017-09-15 08:30:00,14.31,15/09/2017,S1,2017-09-15 08:30:00,2,2017-09-15 00:00:00,14,2,1,1,08:30:00,38.5
46,3579.0,2017-09-15 08:00:00,13.12,15/09/2017,S1,2017-09-15 08:00:00,2,2017-09-15 00:00:00,14,1,2,1,08:00:00,39.125
47,3500.0,2017-09-15 08:30:00,14.65,15/09/2017,S1,2017-09-15 08:30:00,2,2017-09-15 00:00:00,14,2,3,1,08:30:00,38.625
48,3475.0,2017-09-15 08:00:00,13.2,15/09/2017,S1,2017-09-15 08:00:00,2,2017-09-15 00:00:00,14,1,2,1,08:00:00,
49,3424.0,2017-09-15 08:00:00,6.68,15/09/2017,S1,2017-09-15 08:00:00,2,2017-09-15 00:00:00,14,2,1,1,08:00:00,38.25
50,2581.0,2017-09-15 08:00:00,30.87,15/09/2017,S1,2017-09-15 08:00:00,2,2017-09-15 00:00:00,14,1,3,1,08:00:00,38.5
51,2567.0,2017-09-15 08:00:00,14.77,15/09/2017,S1,2017-09-15 08:00:00,2,2017-09-15 00:00:00,14,1,1,1,08:00:00,38.625
52,2468.0,2017-09-15 08:30:00,13.66,15/09/2017,S1,2017-09-15 08:30:00,2,2017-09-15 00:00:00,14,2,2,1,08:30:00,38.75
53,2406.0,2017-09-15 08:00:00,10.26,15/09/2017,S1,2017-09-15 08:00:00,2,2017-09-15 00:00:00,14,2,2,1,08:00:00,38.625
54,3652.0,2017-09-19 08:00:00,13.94,19/09/2017,S1,2017-09-19 08:00:00,2,2017-09-19 00:00:00,18,1,3,1,08:00:00,38.625
55,653.0,2017-09-19 08:30:00,13.74,19/09/2017,S1,2017-09-19 08:30:00,2,2017-09-19 00:00:00,18,1,1,1,08:30:00,38.875
56,2623.0,2017-09-19 08:00:00,15.19,19/09/2017,S1,2017-09-19 08:00:00,2,2017-09-19 00:00:00,18,2,2,1,08:00:00,38.875
57,2624.0,2017-09-19 08:30:00,14.97,19/09/2017,S1,2017-09-19 08:30:00,2,2017-09-19 00:00:00,18,2,3,1,08:30:00,31.125
58,2662.0,2017-09-19 08:00:00,9.3,19/09/2017,S1,2017-09-19 08:00:00,2,2017-09-19 00:00:00,18,2,1,1,08:00:00,39.25
59,4498.0,2017-09-19 08:00:00,12.47,19/09/2017,S1,2017-09-19 08:00:00,2,2017-09-19 00:00:00,18,1,1,1,08:00:00,38.875
60,4448.0,2017-09-19 08:00:00,13.19,19/09/2017,S1,2017-09-19 08:00:00,2,2017-09-19 00:00:00,18,1,3,1,08:00:00,38.625
61,4412.0,2017-09-19 08:00:00,10.1,19/09/2017,S1,2017-09-19 08:00:00,2,2017-09-19 00:00:00,18,1,2,1,08:00:00,38.375
62,4421.0,2017-09-19 08:30:00,22.63,19/09/2017,S1,2017-09-19 08:30:00,2,2017-09-19 00:00:00,18,2,3,1,08:30:00,38.75
63,4021.0,2017-09-19 08:30:00,14.39,19/09/2017,S1,2017-09-19 08:30:00,2,2017-09-19 00:00:00,18,2,1,1,08:30:00,38.75
64,3579.0,2017-09-19 08:00:00,13.22,19/09/2017,S1,2017-09-19 08:00:00,2,2017-09-19 00:00:00,18,1,2,1,08:00:00,39.25
65,3500.0,2017-09-19 08:00:00,14.36,19/09/2017,S1,2017-09-19 08:00:00,2,2017-09-19 00:00:00,18,2,3,1,08:00:00,38.375
66,3475.0,2017-09-19 08:00:00,15.23,19/09/2017,S1,2017-09-19 08:00:00,2,2017-09-19 00:00:00,18,1,2,1,08:00:00,38.75
67,3424.0,2017-09-19 08:30:00,6.22,19/09/2017,S1,2017-09-19 08:30:00,2,2017-09-19 00:00:00,18,2,1,1,08:30:00,39.5
68,2581.0,2017-09-19 08:00:00,17.67,19/09/2017,S1,2017-09-19 08:00:00,2,2017-09-19 00:00:00,18,1,3,1,08:00:00,38.875
69,2567.0,2017-09-19 08:00:00,13.53,19/09/2017,S1,2017-09-19 08:00:00,2,2017-09-19 00:00:00,18,1,1,1,08:00:00,
70,2468.0,2017-09-19 08:30:00,26.47,19/09/2017,S1,2017-09-19 08:30:00,2,2017-09-19 00:00:00,18,2,2,1,08:30:00,39.375
71,2406.0,2017-09-19 08:30:00,11.99,19/09/2017,S1,2017-09-19 08:30:00,2,2017-09-19 00:00:00,18,2,2,1,08:30:00,38.625
72,3652.0,2017-09-17 08:00:00,13.87,17/09/2017,S1,2017-09-17 08:00:00,2,2017-09-17 00:00:00,16,1,3,1,08:00:00,38.875
73,653.0,2017-09-17 08:00:00,10.42,17/09/2017,S1,2017-09-17 08:00:00,2,2017-09-17 00:00:00,16,1,1,1,08:00:00,38.5
74,2623.0,2017-09-17 08:30:00,15.02,17/09/2017,S1,2017-09-17 08:30:00,2,2017-09-17 00:00:00,16,2,2,1,08:30:00,38.625
75,2624.0,2017-09-17 08:00:00,13.06,17/09/2017,S1,2017-09-17 08:00:00,2,2017-09-17 00:00:00,16,2,3,1,08:00:00,38.625
76,2662.0,2017-09-17 08:00:00,4.84,17/09/2017,S1,2017-09-17 08:00:00,2,2017-09-17 00:00:00,16,2,1,1,08:00:00,39.25
77,4498.0,2017-09-17 08:00:00,12.07,17/09/2017,S1,2017-09-17 08:00:00,2,2017-09-17 00:00:00,16,1,1,1,08:00:00,38.625
78,4448.0,2017-09-17 08:00:00,13.84,17/09/2017,S1,2017-09-17 08:00:00,2,2017-09-17 00:00:00,16,1,3,1,08:00:00,38.875
79,4412.0,2017-09-17 08:00:00,10.66,17/09/2017,S1,2017-09-17 08:00:00,2,2017-09-17 00:00:00,16,1,2,1,08:00:00,38.5
80,4421.0,2017-09-17 08:30:00,8.15,17/09/2017,S1,2017-09-17 08:30:00,2,2017-09-17 00:00:00,16,2,3,1,08:30:00,39.0
81,4021.0,2017-09-17 08:30:00,14.24,17/09/2017,S1,2017-09-17 08:30:00,2,2017-09-17 00:00:00,16,2,1,1,08:30:00,39.25
82,3579.0,2017-09-17 08:00:00,13.72,17/09/2017,S1,2017-09-17 08:00:00,2,2017-09-17 00:00:00,16,1,2,1,08:00:00,39.125
83,3500.0,2017-09-17 08:30:00,15.39,17/09/2017,S1,2017-09-17 08:30:00,2,2017-09-17 00:00:00,16,2,3,1,08:30:00,38.25
84,3475.0,2017-09-17 08:00:00,15.49,17/09/2017,S1,2017-09-17 08:00:00,2,2017-09-17 00:00:00,16,1,2,1,08:00:00,39.0
85,3424.0,2017-09-17 08:00:00,9.7,17/09/2017,S1,2017-09-17 08:00:00,2,2017-09-17 00:00:00,16,2,1,1,08:00:00,39.0
86,2581.0,2017-09-17 08:00:00,17.95,17/09/2017,S1,2017-09-17 08:00:00,2,2017-09-17 00:00:00,16,1,3,1,08:00:00,38.625
87,2567.0,2017-09-17 08:00:00,14.99,17/09/2017,S1,2017-09-17 08:00:00,2,2017-09-17 00:00:00,16,1,1,1,08:00:00,39.0
88,2468.0,2017-09-17 08:30:00,14.34,17/09/2017,S1,2017-09-17 08:30:00,2,2017-09-17 00:00:00,16,2,2,1,08:30:00,38.75
89,2406.0,2017-09-17 08:00:00,12.15,17/09/2017,S1,2017-09-17 08:00:00,2,2017-09-17 00:00:00,16,2,2,1,08:00:00,38.5
90,3652.0,2017-09-20 08:30:00,14.32,20/09/2017,S1,2017-09-20 08:30:00,2,2017-09-20 00:00:00,19,1,3,1,08:30:00,38.75
91,653.0,2017-09-20 08:00:00,13.62,20/09/2017,S1,2017-09-20 08:00:00,2,2017-09-20 00:00:00,19,1,1,1,08:00:00,38.625
92,2623.0,2017-09-20 08:30:00,15.53,20/09/2017,S1,2017-09-20 08:30:00,2,2017-09-20 00:00:00,19,2,2,1,08:30:00,38.75
93,2624.0,2017-09-20 08:30:00,12.12,20/09/2017,S1,2017-09-20 08:30:00,2,2017-09-20 00:00:00,19,2,3,1,08:30:00,38.75
94,2662.0,2017-09-20 08:00:00,9.07,20/09/2017,S1,2017-09-20 08:00:00,2,2017-09-20 00:00:00,19,2,1,1,08:00:00,39.375
95,4498.0,2017-09-20 08:00:00,12.81,20/09/2017,S1,2017-09-20 08:00:00,2,2017-09-20 00:00:00,19,1,1,1,08:00:00,39.0
96,4448.0,2017-09-20 08:00:00,13.52,20/09/2017,S1,2017-09-20 08:00:00,2,2017-09-20 00:00:00,19,1,3,1,08:00:00,38.625
97,4412.0,2017-09-20 08:00:00,10.42,20/09/2017,S1,2017-09-20 08:00:00,2,2017-09-20 00:00:00,19,1,2,1,08:00:00,38.5
98,4421.0,2017-09-20 08:30:00,7.34,20/09/2017,S1,2017-09-20 08:30:00,2,2017-09-20 00:00:00,19,2,3,1,08:30:00,38.625
99,4021.0,2017-09-20 08:30:00,14.47,20/09/2017,S1,2017-09-20 08:30:00,2,2017-09-20 00:00:00,19,2,1,1,08:30:00,39.0
100,3579.0,2017-09-20 08:00:00,14.03,20/09/2017,S1,2017-09-20 08:00:00,2,2017-09-20 00:00:00,19,1,2,1,08:00:00,38.875
101,3500.0,2017-09-20 08:30:00,15.58,20/09/2017,S1,2017-09-20 08:30:00,2,2017-09-20 00:00:00,19,2,3,1,08:30:00,38.75
102,3475.0,2017-09-20 08:00:00,15.24,20/09/2017,S1,2017-09-20 08:00:00,2,2017-09-20 00:00:00,19,1,2,1,08:00:00,38.75
103,3424.0,2017-09-20 08:30:00,7.89,20/09/2017,S1,2017-09-20 08:30:00,2,2017-09-20 00:00:00,19,2,1,1,08:30:00,38.875
104,2581.0,2017-09-20 08:30:00,18.45,20/09/2017,S1,2017-09-20 08:30:00,2,2017-09-20 00:00:00,19,1,3,1,08:30:00,38.625
105,2567.0,2017-09-20 08:00:00,10.09,20/09/2017,S1,2017-09-20 08:00:00,2,2017-09-20 00:00:00,19,1,1,1,08:00:00,
106,2468.0,2017-09-20 08:30:00,14.72,20/09/2017,S1,2017-09-20 08:30:00,2,2017-09-20 00:00:00,19,2,2,1,08:30:00,39.375
107,2406.0,2017-09-20 08:30:00,11.07,20/09/2017,S1,2017-09-20 08:30:00,2,2017-09-20 00:00:00,19,2,2,1,08:30:00,38.875
108,3652.0,2017-09-18 08:00:00,13.94,18/09/2017,S1,2017-09-18 08:00:00,2,2017-09-18 00:00:00,17,1,3,1,08:00:00,38.75
109,653.0,2017-09-18 08:00:00,14.33,18/09/2017,S1,2017-09-18 08:00:00,2,2017-09-18 00:00:00,17,1,1,1,08:00:00,38.25
110,2623.0,2017-09-18 08:30:00,15.48,18/09/2017,S1,2017-09-18 08:30:00,2,2017-09-18 00:00:00,17,2,2,1,08:30:00,38.75
111,2624.0,2017-09-18 08:30:00,14.46,18/09/2017,S1,2017-09-18 08:30:00,2,2017-09-18 00:00:00,17,2,3,1,08:30:00,37.75
112,2662.0,2017-09-18 08:00:00,7.48,18/09/2017,S1,2017-09-18 08:00:00,2,2017-09-18 00:00:00,17,2,1,1,08:00:00,39.125
113,4498.0,2017-09-18 08:00:00,11.37,18/09/2017,S1,2017-09-18 08:00:00,2,2017-09-18 00:00:00,17,1,1,1,08:00:00,38.875
114,4448.0,2017-09-18 08:00:00,13.99,18/09/2017,S1,2017-09-18 08:00:00,2,2017-09-18 00:00:00,17,1,3,1,08:00:00,38.625
115,4412.0,2017-09-18 08:00:00,10.88,18/09/2017,S1,2017-09-18 08:00:00,2,2017-09-18 00:00:00,17,1,2,1,08:00:00,38.875
116,4421.0,2017-09-18 08:30:00,7.54,18/09/2017,S1,2017-09-18 08:30:00,2,2017-09-18 00:00:00,17,2,3,1,08:30:00,39.0
117,4021.0,2017-09-18 08:00:00,14.44,18/09/2017,S1,2017-09-18 08:00:00,2,2017-09-18 00:00:00,17,2,1,1,08:00:00,38.875
118,3579.0,2017-09-18 08:00:00,13.22,18/09/2017,S1,2017-09-18 08:00:00,2,2017-09-18 00:00:00,17,1,2,1,08:00:00,39.125
119,3500.0,2017-09-18 08:00:00,15.46,18/09/2017,S1,2017-09-18 08:00:00,2,2017-09-18 00:00:00,17,2,3,1,08:00:00,38.5
120,3475.0,2017-09-18 08:00:00,15.67,18/09/2017,S1,2017-09-18 08:00:00,2,2017-09-18 00:00:00,17,1,2,1,08:00:00,38.75
121,3424.0,2017-09-18 08:00:00,9.48,18/09/2017,S1,2017-09-18 08:00:00,2,2017-09-18 00:00:00,17,2,1,1,08:00:00,39.0
122,2581.0,2017-09-18 08:00:00,17.73,18/09/2017,S1,2017-09-18 08:00:00,2,2017-09-18 00:00:00,17,1,3,1,08:00:00,38.75
123,2567.0,2017-09-18 08:00:00,13.65,18/09/2017,S1,2017-09-18 08:00:00,2,2017-09-18 00:00:00,17,1,1,1,08:00:00,39.25
124,2468.0,2017-09-18 08:30:00,15.1,18/09/2017,S1,2017-09-18 08:30:00,2,2017-09-18 00:00:00,17,2,2,1,08:30:00,39.0
125,2406.0,2017-09-18 08:30:00,11.07,18/09/2017,S1,2017-09-18 08:30:00,2,2017-09-18 00:00:00,17,2,2,1,08:30:00,38.75
126,3652.0,2017-09-14 08:00:00,14.05,14/09/2017,S1,2017-09-14 08:00:00,2,2017-09-14 00:00:00,13,1,3,0,08:00:00,38.375
127,653.0,2017-09-14 08:00:00,15.14,14/09/2017,S1,2017-09-14 08:00:00,2,2017-09-14 00:00:00,13,1,1,0,08:00:00,38.375
128,2623.0,2017-09-14 08:30:00,14.87,14/09/2017,S1,2017-09-14 08:30:00,2,2017-09-14 00:00:00,13,2,2,0,08:30:00,39.0
129,2624.0,2017-09-14 08:30:00,15.33,14/09/2017,S1,2017-09-14 08:30:00,2,2017-09-14 00:00:00,13,2,3,0,08:30:00,37.75
